"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","WD","h1","°",324.89,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.88,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.84,"provisorisch"
"2026-01-01T05:00+0100","Zch_Schimmelstrasse","p","h1","hPa",969.32,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",78.01,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",0.02,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",-4.73,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",15.21,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.96,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.72,"provisorisch"
"2026-01-01T05:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",966.58,"provisorisch"
"2026-01-01T06:00+0100","Zch_Heubeeribüel","Hr","h1","%Hr",99.0,"provisorisch"
"2026-01-01T06:00+0100","Zch_Heubeeribüel","T","h1","°C",-5.81,"provisorisch"
"2026-01-01T06:00+0100","Zch_Heubeeribüel","p","h1","hPa",944.82,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",82.68,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-5.88,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","WD","h1","°",33.37,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.22,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.09,"provisorisch"
"2026-01-01T06:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",966.06,"provisorisch"
"2026-01-01T06:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",76.91,"provisorisch"
